Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Pseudocalanus spp.,CV,65.31,933.33,1083.33,0.93,1.08,3.13E+00,4.78E+00,,2.04E+02,3.12E+02,,,Omnivorous,2.40E+07,1.41E+07,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,F,1052.73,1200.00,1200.00,1.20,1.20,6.40E+00,6.40E+00,,6.73E+03,6.73E+03,,,Omnivorous,4.32E+08,4.32E+08,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,M,45.71,1000.00,1000.00,1.00,1.00,3.80E+00,3.80E+00,,1.74E+02,1.74E+02,,,Omnivorous,1.27E+07,1.27E+07,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,Total,6402.39,,,,,,,,,,1.14E+04,3.54E+03,,#DIV/0!,#DIV/0!,1.04E+09,8.92E+08,,,,,,,,,,,,,
LW,Spinocalanus longicornis,Cii,91.43,620.00,620.00,0.62,0.62,1.59E+00,1.59E+00,"Uye, 1982",1.46E+02,1.46E+02,,,Omnivorous,1.32E+07,1.32E+07,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,Ciii,247.07,800.00,1000.00,0.80,1.00,3.49E+00,6.92E+00,,8.62E+02,1.71E+03,,,Omnivorous,1.28E+08,5.42E+07,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,CiV,325.44,1000.00,1200.00,1.00,1.20,6.92E+00,1.21E+01,,2.25E+03,3.94E+03,,,Omnivorous,2.48E+08,1.23E+08,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,CV,314.56,1280.00,1700.00,1.28,1.70,1.48E+01,3.53E+01,,4.64E+03,1.11E+04,,,Omnivorous,5.78E+08,1.95E+08,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,F,575.56,1600.00,1800.00,1.60,1.80,2.93E+01,4.20E+01,,1.69E+04,2.42E+04,,,Omnivorous,1.06E+09,6.76E+08,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,M,76.19,1400.00,1600.00,1.40,1.60,1.94E+01,2.93E+01,,1.48E+03,2.23E+03,,,Omnivorous,1.08E+08,6.50E+07,,,,,,,,,,,,,,,
LW,Spinocalanus longicornis,Total,1630.26,,,,,,,,,,2.62E+04,4.33E+04,,#DIV/0!,#DIV/0!,2.14E+09,1.13E+09,,,,,,,,,,,,,
LW,Themisto abyssorum,NA,179.50,31.00,31.00,31.00,31.00,5.04E+01,5.04E+01,"Hopcroft et al., 2005",9.04E+03,9.04E+03,9.04E+03,9.04E+03,Carnivorous,3.47E+08,3.47E+08,3.47E+08,3.47E+08,,,,,,,,,,,,,
